genesym	ensid	essentiality
EIF3H	ENSG00000147677	26.15
IFNL2	ENSG00000183709	26.15
IGF1R	ENSG00000140443	26.15
PSMG2	ENSG00000128789	26.15
PTBP1	ENSG00000011304	26.15
ZNF730	ENSG00000183850	26.15
CDK4	ENSG00000135446	25.85
CTU2	ENSG00000174177	25.85
H2AFB1	ENSG00000274183	25.85
KRAS	ENSG00000133703	25.85
MRPL50	ENSG00000136897	25.85
MSTO1	ENSG00000125459	25.85
NAMPT	ENSG00000105835	25.85
POLRMT	ENSG00000099821	25.85
RBM28	ENSG00000106344	25.85
SRF	ENSG00000112658	25.85
ZC3H18	ENSG00000158545	25.85
AKTIP	ENSG00000166971	25.54
CXXC1	ENSG00000154832	25.54
FAM50A	ENSG00000071859	25.54
KRT8	ENSG00000170421	25.54
KRTAP19-6	ENSG00000186925	25.54
NDUFA13	ENSG00000186010	25.54
NDUFC2	ENSG00000151366	25.54
NOC3L	ENSG00000173145	25.54
XRCC2	ENSG00000196584	25.54
ZNF98	ENSG00000197360	25.54
ADAT3	ENSG00000213638	25.23
C7orf26	ENSG00000146576	25.23
EXOC2	ENSG00000112685	25.23
HYOU1	ENSG00000149428	25.23
KRTAP5-3	ENSG00000196224	25.23
LIAS	ENSG00000121897	25.23
NARG2		25.23
PRDM10	ENSG00000170325	25.23
TIPARP	ENSG00000163659	25.23
UBA5	ENSG00000081307	25.23
CAD	ENSG00000084774	24.92
CD3EAP	ENSG00000117877	24.92
EAF1	ENSG00000144597	24.92
FNBP4	ENSG00000109920	24.92
POU5F1	ENSG00000204531	24.92
SPRR1B	ENSG00000169469	24.92
TBL1XR1	ENSG00000177565	24.92
CIT	ENSG00000122966	24.62
EIF2B1	ENSG00000111361	24.62
EMC3	ENSG00000125037	24.62
H2AFZ	ENSG00000164032	24.62
MMGT1	ENSG00000169446	24.62
MRPL55	ENSG00000162910	24.62
MTRF1L	ENSG00000112031	24.62
C19orf52		24.31
CTAGE9	ENSG00000236761	24.31
ESCO2	ENSG00000171320	24.31
GLRX5	ENSG00000182512	24.31
MTIF2	ENSG00000085760	24.31
NDUFA8	ENSG00000119421	24.31
NDUFB10	ENSG00000140990	24.31
UPK3BL	ENSG00000267368	24.31
UQCRC2	ENSG00000140740	24.31
CHMP5	ENSG00000086065	24.00
DYNLL1	ENSG00000088986	24.00
ERCC6-PGBD3		24.00
EXOC5	ENSG00000070367	24.00
KRTAP9-2	ENSG00000239886	24.00
NRBF2	ENSG00000148572	24.00
PPP2R2A	ENSG00000221914	24.00
RBM10	ENSG00000182872	24.00
RFK	ENSG00000135002	24.00
RTTN	ENSG00000176225	24.00
SUZ12	ENSG00000178691	24.00
WAPAL		24.00
WDR48	ENSG00000114742	24.00
E4F1	ENSG00000167967	23.69
OBFC1		23.69
RAB1B	ENSG00000174903	23.69
SNAPIN	ENSG00000143553	23.69
CWF19L2	ENSG00000152404	23.38
DNAJB6	ENSG00000105993	23.38
DNLZ	ENSG00000213221	23.38
FERMT2	ENSG00000073712	23.38
MCMBP	ENSG00000197771	23.38
MED19	ENSG00000156603	23.38
NCKAP1	ENSG00000061676	23.38
PTP4A1	ENSG00000112245	23.38
SPRR2G	ENSG00000159516	23.38
TAF5	ENSG00000148835	23.38
DNAJC19	ENSG00000205981	23.08
ELOF1	ENSG00000130165	23.08
GLE1	ENSG00000119392	23.08
GYPE	ENSG00000197465	23.08
HNRNPA2B1	ENSG00000122566	23.08
MIS18A	ENSG00000159055	23.08
NFYA	ENSG00000001167	23.08
ARID2	ENSG00000189079	22.77
BTBD7	ENSG00000011114	22.77
DDA1	ENSG00000130311	22.77
FAM86C1	ENSG00000158483	22.77
FCGR1A	ENSG00000150337	22.77
MRPS22	ENSG00000175110	22.77
MRPS28	ENSG00000147586	22.77
PSMG1	ENSG00000183527	22.77
BRD2	ENSG00000204256	22.46
CCDC115	ENSG00000136710	22.46
HSBP1	ENSG00000230989	22.46
MPHOSPH6	ENSG00000135698	22.46
MPHOSPH8	ENSG00000196199	22.46
MYL12A	ENSG00000101608	22.46
PRDX3	ENSG00000165672	22.46
SARS2	ENSG00000104835	22.46
TBCE	ENSG00000116957	22.46
CDAN1	ENSG00000140326	22.15
EIF4B	ENSG00000063046	22.15
FAM60A	ENSG00000139146	22.15
MRPS11	ENSG00000181991	22.15
PHGR1	ENSG00000233041	22.15
RPP25L	ENSG00000164967	22.15
SLC39A10	ENSG00000196950	22.15
STX4	ENSG00000103496	22.15
TAMM41	ENSG00000144559	22.15
TOE1	ENSG00000132773	22.15
TRIM49	ENSG00000168930	22.15
TTF2	ENSG00000116830	22.15
UQCRC1	ENSG00000010256	22.15
ZNF143	ENSG00000166478	22.15
KDM2A	ENSG00000173120	21.85
MRPL4	ENSG00000105364	21.85
MRPL47	ENSG00000136522	21.85
NDUFB4	ENSG00000065518	21.85
PIGC	ENSG00000135845	21.85
REV3L	ENSG00000009413	21.85
RRAGC	ENSG00000116954	21.85
SKAP2	ENSG00000005020	21.85
STXBP3	ENSG00000116266	21.85
TUBB4B	ENSG00000188229	21.85
TXNRD1	ENSG00000198431	21.85
ZFYVE20		21.85
DLST	ENSG00000119689	21.54
HNRNPA1	ENSG00000135486	21.54
ITGB5	ENSG00000082781	21.54
MRPL27	ENSG00000108826	21.54
MRPL46	ENSG00000259494	21.54
NIPBL	ENSG00000164190	21.54
PKN2	ENSG00000065243	21.54
PPP2R4		21.54
TBP	ENSG00000112592	21.54
AHCY	ENSG00000101444	21.23
FDPS	ENSG00000160752	21.23
GFM1	ENSG00000168827	21.23
MTFMT	ENSG00000103707	21.23
NDUFAF1	ENSG00000137806	21.23
NFE2L3	ENSG00000050344	21.23
NSMCE1	ENSG00000169189	21.23
PPAT	ENSG00000128059	21.23
PPP1R14B	ENSG00000173457	21.23
PRKRIP1	ENSG00000128563	21.23
RPL36AL	ENSG00000165502	21.23
WDR73	ENSG00000177082	21.23
ZNF559	ENSG00000188321	21.23
BRD8	ENSG00000112983	20.92
COA5	ENSG00000183513	20.92
DAP	ENSG00000112977	20.92
DSTN	ENSG00000125868	20.92
FAM168A	ENSG00000054965	20.92
FDXR	ENSG00000161513	20.92
FUBP1	ENSG00000162613	20.92
LUC7L2	ENSG00000146963	20.92
PAPOLA	ENSG00000090060	20.92
TNPO1	ENSG00000083312	20.92
VPS53	ENSG00000141252	20.92
ZNF85	ENSG00000105750	20.92
FAM96A	ENSG00000166797	20.62
METTL15	ENSG00000169519	20.62
METTL17	ENSG00000165792	20.62
NDUFB1	ENSG00000183648	20.62
NDUFS8	ENSG00000110717	20.62
RSPH9	ENSG00000172426	20.62
BIRC6	ENSG00000115760	20.31
FPGS	ENSG00000136877	20.31
KRTAP4-7	ENSG00000240871	20.31
LENG8	ENSG00000167615	20.31
MRPL44	ENSG00000135900	20.31
MYBL2	ENSG00000101057	20.31
RNF8	ENSG00000112130	20.31
TEFM	ENSG00000172171	20.31
TRMT6	ENSG00000089195	20.31
ZNF705G	ENSG00000215372	20.31
CDS2	ENSG00000101290	20.00
COG8	ENSG00000213380	20.00
DDX1	ENSG00000079785	20.00
KCNJ9	ENSG00000162728	20.00
KPNA4	ENSG00000186432	20.00
LCE3D	ENSG00000163202	20.00
LRPPRC	ENSG00000138095	20.00
NDUFA5	ENSG00000128609	20.00
NDUFA6	ENSG00000184983	20.00
OXA1L	ENSG00000155463	20.00
RICTOR	ENSG00000164327	20.00
VPS29	ENSG00000111237	20.00
ZRANB2	ENSG00000132485	20.00
AK2	ENSG00000004455	19.69
EXOSC1	ENSG00000171311	19.69
HIST2H2AC	ENSG00000184260	19.69
MAEA	ENSG00000090316	19.69
MRPL16	ENSG00000166902	19.69
MRPL24	ENSG00000143314	19.69
PPAN-P2RY11		19.69
PRCC	ENSG00000143294	19.69
SEC16A	ENSG00000148396	19.69
STX5	ENSG00000162236	19.69
TTC19	ENSG00000011295	19.69
UQCRB	ENSG00000156467	19.69
XCL1	ENSG00000143184	19.69
BCS1L	ENSG00000074582	19.38
EXTL3	ENSG00000012232	19.38
HBS1L	ENSG00000112339	19.38
IER3IP1	ENSG00000134049	19.38
LRRC37A3	ENSG00000176809	19.38
MAGED4	ENSG00000154545	19.38
NUDCD3	ENSG00000015676	19.38
PSG2	ENSG00000242221	19.38
RALBP1	ENSG00000017797	19.38
SCAF1	ENSG00000126461	19.38
SEC61B	ENSG00000106803	19.38
TMEM167A	ENSG00000174695	19.38
VDAC2	ENSG00000165637	19.38
FAM104B	ENSG00000182518	19.08
GPATCH1	ENSG00000076650	19.08
HIST1H2BK	ENSG00000197903	19.08
MRE11A		19.08
MRPL39	ENSG00000154719	19.08
PDAP1	ENSG00000106244	19.08
PRB1	ENSG00000251655	19.08
RAB7A	ENSG00000075785	19.08
USP1	ENSG00000162607	19.08
CAND1	ENSG00000111530	18.77
COPS3	ENSG00000141030	18.77
DDX42	ENSG00000198231	18.77
EP400	ENSG00000183495	18.77
KTI12	ENSG00000198841	18.77
LAMTOR2	ENSG00000116586	18.77
PPP3CB	ENSG00000107758	18.77
RANBP1	ENSG00000099901	18.77
RHOA	ENSG00000067560	18.77
RPRD1B	ENSG00000101413	18.77
SHOC2	ENSG00000108061	18.77
CCDC132		18.46
CNTNAP3B	ENSG00000154529	18.46
LIMS1	ENSG00000169756	18.46
MATR3	ENSG00000015479	18.46
OSTC	ENSG00000198856	18.46
RNF40	ENSG00000103549	18.46
TADA2B	ENSG00000173011	18.46
TM2D2	ENSG00000169490	18.46
UQCR10	ENSG00000184076	18.46
WDR83	ENSG00000123154	18.46
AP3S1	ENSG00000177879	18.15
C15orf41	ENSG00000186073	18.15
C1D	ENSG00000197223	18.15
COX6A1	ENSG00000111775	18.15
CUL1	ENSG00000055130	18.15
F8A3	ENSG00000277150	18.15
FAM72D	ENSG00000215784	18.15
HIST2H2AA3	ENSG00000203812	18.15
MRPS31	ENSG00000102738	18.15
NARS2	ENSG00000137513	18.15
NDUFA9	ENSG00000139180	18.15
PNKP	ENSG00000039650	18.15
PPRC1	ENSG00000148840	18.15
SCARF1	ENSG00000074660	18.15
TAZ	ENSG00000102125	18.15
TOR1AIP2	ENSG00000169905	18.15
TRMT10C	ENSG00000174173	18.15
BRAT1	ENSG00000106009	17.85
CCNYL1	ENSG00000163249	17.85
KLF16	ENSG00000129911	17.85
MAU2	ENSG00000129933	17.85
MTHFD1	ENSG00000100714	17.85
TSEN54	ENSG00000182173	17.85
UBC	ENSG00000150991	17.85
VPS72	ENSG00000163159	17.85
YAP1	ENSG00000137693	17.85
ARL1	ENSG00000120805	17.54
CD86	ENSG00000114013	17.54
DPPA3	ENSG00000187569	17.54
EGFR	ENSG00000146648	17.54
EIF4E2	ENSG00000135930	17.54
IFNA21	ENSG00000137080	17.54
MED1	ENSG00000125686	17.54
MNAT1	ENSG00000020426	17.54
MRPL21	ENSG00000197345	17.54
PDCD2	ENSG00000071994	17.54
SCG5	ENSG00000166922	17.54
TSEN34	ENSG00000170892	17.54
VMA21	ENSG00000160131	17.54
WRB	ENSG00000182093	17.54
GET4	ENSG00000239857	17.23
HIGD1A	ENSG00000181061	17.23
HIST2H2BF	ENSG00000203814	17.23
IPO9	ENSG00000198700	17.23
LSMD1		17.23
MRPS6	ENSG00000243927	17.23
PET112		17.23
UMPS	ENSG00000114491	17.23
ANKRD36	ENSG00000135976	16.92
FEN1	ENSG00000168496	16.92
HIRA	ENSG00000100084	16.92
KDM8	ENSG00000155666	16.92
MRPS17	ENSG00000239789	16.92
NAA30	ENSG00000139977	16.92
NCKAP5L	ENSG00000167566	16.92
NXF1	ENSG00000162231	16.92
PDCL2	ENSG00000163440	16.92
RBM18	ENSG00000119446	16.92
SSX5	ENSG00000165583	16.92
STT3A	ENSG00000134910	16.92
SYVN1	ENSG00000162298	16.92
TMEM199	ENSG00000244045	16.92
UQCR11	ENSG00000127540	16.92
VCX	ENSG00000182583	16.92
VPS52	ENSG00000223501	16.92
ZNHIT3	ENSG00000273611	16.92
ARID4B	ENSG00000054267	16.62
BRD7	ENSG00000166164	16.62
C19orf40		16.62
COQ2	ENSG00000173085	16.62
COX6C	ENSG00000164919	16.62
DHX35	ENSG00000101452	16.62
FAM136A	ENSG00000035141	16.62
FAM204A	ENSG00000165669	16.62
ICT1		16.62
IPPK	ENSG00000127080	16.62
KCTD10	ENSG00000110906	16.62
MRPS12	ENSG00000128626	16.62
PDCL	ENSG00000136940	16.62
ZNF212	ENSG00000170260	16.62
AARS2	ENSG00000124608	16.31
CCDC144A	ENSG00000170160	16.31
COX5A	ENSG00000178741	16.31
DCLRE1B	ENSG00000118655	16.31
FRG2C	ENSG00000172969	16.31
GCSH	ENSG00000140905	16.31
HIST1H2AD	ENSG00000196866	16.31
KLF5	ENSG00000102554	16.31
MRPL9	ENSG00000143436	16.31
NDUFA3	ENSG00000170906	16.31
NDUFS1	ENSG00000023228	16.31
RAB18	ENSG00000099246	16.31
RPUSD4	ENSG00000165526	16.31
SSBP1	ENSG00000106028	16.31
XPOT	ENSG00000184575	16.31
ANGPTL5	ENSG00000187151	16.00
ARL4A	ENSG00000122644	16.00
ATP5J2	ENSG00000241468	16.00
DLD	ENSG00000091140	16.00
HEATR3	ENSG00000155393	16.00
KCTD9	ENSG00000104756	16.00
LSM14A	ENSG00000257103	16.00
MAGEA2	ENSG00000268606	16.00
MAP3K7	ENSG00000135341	16.00
MRPL18	ENSG00000112110	16.00
MRPS27	ENSG00000113048	16.00
MTG2	ENSG00000101181	16.00
PRAMEF22		16.00
UCHL5	ENSG00000116750	16.00
VEZT	ENSG00000028203	16.00
ACACA	ENSG00000278540	15.69
ATF4	ENSG00000128272	15.69
BAZ1B	ENSG00000009954	15.69
DEFB103A	ENSG00000176797	15.69
FTH1	ENSG00000167996	15.69
IL9R	ENSG00000124334	15.69
LEMD2	ENSG00000161904	15.69
NDUFAF4	ENSG00000123545	15.69
NDUFV1	ENSG00000167792	15.69
POLR3D	ENSG00000168495	15.69
SIGLEC11	ENSG00000161640	15.69
TVP23C-CDRT4		15.69
UGT1A5		15.69
WWTR1	ENSG00000018408	15.69
YIPF5	ENSG00000145817	15.69
APIP	ENSG00000149089	15.38
BMPR1A	ENSG00000107779	15.38
CWC25	ENSG00000273559	15.38
EHMT2	ENSG00000204371	15.38
FBXO42	ENSG00000037637	15.38
FOSL1	ENSG00000175592	15.38
KRT81	ENSG00000205426	15.38
NDUFS7	ENSG00000115286	15.38
NRD1		15.38
RFPL4A	ENSG00000223638	15.38
SFTA2	ENSG00000196260	15.38
TMX2	ENSG00000213593	15.38
TRIP13	ENSG00000071539	15.38
TRMT11	ENSG00000066651	15.38
BIRC2	ENSG00000110330	15.08
BRI3	ENSG00000164713	15.08
COIL	ENSG00000121058	15.08
COX4I1	ENSG00000131143	15.08
DEFB114	ENSG00000177684	15.08
GLRX3	ENSG00000108010	15.08
GTF2IRD2	ENSG00000196275	15.08
MARCH5	ENSG00000198060	15.08
MRPS2	ENSG00000122140	15.08
PDCD6IP	ENSG00000170248	15.08
PFAS	ENSG00000178921	15.08
TRIM48	ENSG00000150244	15.08
VPS54	ENSG00000143952	15.08
ANAPC15	ENSG00000110200	14.77
CDC25B	ENSG00000101224	14.77
CYFIP1	ENSG00000273749	14.77
DEFB4A	ENSG00000171711	14.77
FOXM1	ENSG00000111206	14.77
HMGN5	ENSG00000198157	14.77
PSTK	ENSG00000179988	14.77
SCYL1	ENSG00000142186	14.77
UBIAD1	ENSG00000120942	14.77
ALG5	ENSG00000120697	14.46
C16orf72	ENSG00000182831	14.46
CTC1	ENSG00000178971	14.46
FAM35A	ENSG00000122376	14.46
ILK	ENSG00000166333	14.46
MRPL54	ENSG00000183617	14.46
NFRKB	ENSG00000170322	14.46
PGS1	ENSG00000087157	14.46
PRAMEF11	ENSG00000239810	14.46
RARS2	ENSG00000146282	14.46
RDM1	ENSG00000278023	14.46
USP18	ENSG00000184979	14.46
ARHGAP11B	ENSG00000187951	14.15
EDC4	ENSG00000038358	14.15
GABARAP	ENSG00000170296	14.15
IFNA4	ENSG00000236637	14.15
KRTAP5-5	ENSG00000185940	14.15
LCMT1	ENSG00000205629	14.15
LSM12	ENSG00000161654	14.15
MRPS16	ENSG00000182180	14.15
MRPS26	ENSG00000125901	14.15
TUBE1	ENSG00000074935	14.15
VEZF1	ENSG00000136451	14.15
VWA9	ENSG00000138614	14.15
ZFC3H1	ENSG00000133858	14.15
ABHD17A	ENSG00000129968	13.85
COG4	ENSG00000103051	13.85
DHX30	ENSG00000132153	13.85
EDF1	ENSG00000107223	13.85
EIF4H	ENSG00000106682	13.85
ERCC6L	ENSG00000186871	13.85
FANCI	ENSG00000140525	13.85
GATS	ENSG00000239521	13.85
LYRM7	ENSG00000186687	13.85
MRPL20	ENSG00000242485	13.85
MRPL32	ENSG00000106591	13.85
NIT2	ENSG00000114021	13.85
PAICS	ENSG00000128050	13.85
PITRM1	ENSG00000107959	13.85
RCOR1	ENSG00000089902	13.85
RLIM	ENSG00000131263	13.85
SLC25A26	ENSG00000144741	13.85
SLC7A1	ENSG00000139514	13.85
SPANXA2	ENSG00000203926	13.85
STAG2	ENSG00000101972	13.85
ACTR3C	ENSG00000106526	13.54
AHCYL1	ENSG00000168710	13.54
ANKMY2	ENSG00000106524	13.54
CXCL2	ENSG00000081041	13.54
DDX28	ENSG00000182810	13.54
FBLIM1	ENSG00000162458	13.54
GPR89B	ENSG00000188092	13.54
LIG1	ENSG00000105486	13.54
MRPS24	ENSG00000062582	13.54
MT1H	ENSG00000205358	13.54
NDUFB8	ENSG00000166136	13.54
NUTM2F	ENSG00000130950	13.54
PNMA6C		13.54
SSX3	ENSG00000165584	13.54
TADA2A	ENSG00000276234	13.54
TIMM17A	ENSG00000134375	13.54
TIPRL	ENSG00000143155	13.54
TRIM61	ENSG00000183439	13.54
UFM1	ENSG00000120686	13.54
USE1	ENSG00000053501	13.54
ZNF69	ENSG00000198429	13.54
ARMC10	ENSG00000170632	13.23
ASUN	ENSG00000064102	13.23
BRAP	ENSG00000089234	13.23
CIR1	ENSG00000138433	13.23
DMRTC1	ENSG00000269502	13.23
ENO1	ENSG00000074800	13.23
GSTA5	ENSG00000182793	13.23
HAPLN2	ENSG00000132702	13.23
HSPA13	ENSG00000155304	13.23
KAT7	ENSG00000136504	13.23
MDM2	ENSG00000135679	13.23
PARS2	ENSG00000162396	13.23
RB1CC1	ENSG00000023287	13.23
UNC50	ENSG00000115446	13.23
ARHGEF7	ENSG00000102606	12.92
COMMD3	ENSG00000148444	12.92
GART	ENSG00000159131	12.92
GPR61	ENSG00000156097	12.92
GSK3B	ENSG00000082701	12.92
MIOS	ENSG00000164654	12.92
OTUD5	ENSG00000068308	12.92
PDS5A	ENSG00000121892	12.92
SNRPA	ENSG00000077312	12.92
VARS2	ENSG00000137411	12.92
AASDHPPT	ENSG00000149313	12.62
BCAP29	ENSG00000075790	12.62
CCDC101		12.62
DPCD	ENSG00000166171	12.62
EIF3L	ENSG00000100129	12.62
FAM133A	ENSG00000179083	12.62
FIS1	ENSG00000214253	12.62
HIST1H4J	ENSG00000197238	12.62
KIAA1279		12.62
MRPL42	ENSG00000198015	12.62
MRPL53	ENSG00000204822	12.62
PFDN4	ENSG00000101132	12.62
PTPMT1	ENSG00000110536	12.62
RGP1	ENSG00000107185	12.62
RPL29	ENSG00000162244	12.62
SLC7A5	ENSG00000103257	12.62
SLIRP	ENSG00000119705	12.62
SPAG5	ENSG00000076382	12.62
STAMBP	ENSG00000124356	12.62
TIMMDC1	ENSG00000113845	12.62
TRNAU1AP	ENSG00000180098	12.62
TSC22D2	ENSG00000196428	12.62
YME1L1	ENSG00000136758	12.62
ATAD5	ENSG00000176208	12.31
AZI2	ENSG00000163512	12.31
BRPF1	ENSG00000156983	12.31
CEP85	ENSG00000130695	12.31
CMC2	ENSG00000103121	12.31
CTNNB1	ENSG00000168036	12.31
DIDO1	ENSG00000101191	12.31
FARS2	ENSG00000145982	12.31
FCER1A	ENSG00000179639	12.31
H3F3B	ENSG00000132475	12.31
HNRNPF	ENSG00000169813	12.31
KATNB1	ENSG00000140854	12.31
KIAA1143	ENSG00000163807	12.31
NDUFB6	ENSG00000165264	12.31
PCM1	ENSG00000078674	12.31
RAB28	ENSG00000157869	12.31
SNX6	ENSG00000129515	12.31
SSX1	ENSG00000126752	12.31
ST3GAL1	ENSG00000008513	12.31
TMEM230	ENSG00000089063	12.31
XPO5	ENSG00000124571	12.31
AVPR1A	ENSG00000166148	12.00
CEP290	ENSG00000198707	12.00
EIF3K	ENSG00000178982	12.00
ERGIC2	ENSG00000087502	12.00
GPI	ENSG00000105220	12.00
HIST1H3I	ENSG00000275379	12.00
HNRNPA1L2	ENSG00000139675	12.00
KRTAP5-7	ENSG00000244411	12.00
RGPD1	ENSG00000187627	12.00
STRADB	ENSG00000082146	12.00
TARS2	ENSG00000143374	12.00
TOMM70A		12.00
UBE2D2	ENSG00000131508	12.00
ZNF273	ENSG00000198039	12.00
ALG10	ENSG00000139133	11.69
C7orf34	ENSG00000165131	11.69
CENPH	ENSG00000153044	11.69
CSNK2A1	ENSG00000101266	11.69
CUL2	ENSG00000108094	11.69
CYB5R4	ENSG00000065615	11.69
EED	ENSG00000074266	11.69
EXOC8	ENSG00000116903	11.69
FURIN	ENSG00000140564	11.69
IST1	ENSG00000182149	11.69
KLRC2	ENSG00000205809	11.69
KNTC1	ENSG00000184445	11.69
KRTAP10-4	ENSG00000215454	11.69
LMNA	ENSG00000160789	11.69
MED24	ENSG00000008838	11.69
RFWD2	ENSG00000143207	11.69
SEL1L	ENSG00000071537	11.69
STARD7	ENSG00000084090	11.69
UFL1	ENSG00000014123	11.69
WDR26	ENSG00000162923	11.69
ZNHIT1	ENSG00000106400	11.69
C13orf45		11.38
C14orf2	ENSG00000156411	11.38
CCDC144NL	ENSG00000205212	11.38
CEND1	ENSG00000184524	11.38
CENPQ	ENSG00000031691	11.38
CHCHD1	ENSG00000172586	11.38
CRIPT	ENSG00000119878	11.38
DICER1	ENSG00000100697	11.38
FAF2	ENSG00000113194	11.38
HCCS	ENSG00000004961	11.38
HPCAL1	ENSG00000115756	11.38
MAP2K4	ENSG00000065559	11.38
METTL3	ENSG00000165819	11.38
NT5C3A	ENSG00000122643	11.38
PDE6H	ENSG00000139053	11.38
RAD51D	ENSG00000185379	11.38
SEC62	ENSG00000008952	11.38
SYT15	ENSG00000204176	11.38
UBQLN4	ENSG00000160803	11.38
ZNF91	ENSG00000167232	11.38
ZZZ3	ENSG00000036549	11.38
ALDH9A1	ENSG00000143149	11.08
APC	ENSG00000134982	11.08
BLM	ENSG00000197299	11.08
C2orf76	ENSG00000186132	11.08
CBX3	ENSG00000122565	11.08
CSTA	ENSG00000121552	11.08
GLMN	ENSG00000174842	11.08
KDSR	ENSG00000119537	11.08
NDUFA1	ENSG00000125356	11.08
ODF1	ENSG00000155087	11.08
PINX1	ENSG00000254093	11.08
PIP5K1A	ENSG00000143398	11.08
PTDSS1	ENSG00000156471	11.08
SEPSECS	ENSG00000109618	11.08
SERBP1	ENSG00000142864	11.08
SLC2A1	ENSG00000117394	11.08
TAS2R46	ENSG00000226761	11.08
THAP11	ENSG00000168286	11.08
UBE2G2	ENSG00000184787	11.08
WNT6	ENSG00000115596	11.08
AGR3	ENSG00000173467	10.77
ARF1	ENSG00000143761	10.77
ARHGEF35	ENSG00000213214	10.77
CAMLG	ENSG00000164615	10.77
CEP350	ENSG00000135837	10.77
ITPK1	ENSG00000100605	10.77
MRPL3	ENSG00000114686	10.77
MUC20	ENSG00000176945	10.77
RILP	ENSG00000167705	10.77
SUMO1	ENSG00000116030	10.77
TEAD1	ENSG00000187079	10.77
UBR5	ENSG00000104517	10.77
UTP3	ENSG00000132467	10.77
WARS2	ENSG00000116874	10.77
WFDC9	ENSG00000180205	10.77
ANKRD49	ENSG00000168876	10.46
ATP6V0E1	ENSG00000113732	10.46
BTF3L4	ENSG00000134717	10.46
C11orf57	ENSG00000150776	10.46
C9orf78	ENSG00000136819	10.46
CENPO	ENSG00000138092	10.46
E2F3	ENSG00000112242	10.46
LGI1	ENSG00000108231	10.46
LIN54	ENSG00000189308	10.46
LTF	ENSG00000012223	10.46
MBD3L3	ENSG00000182315	10.46
MST1	ENSG00000173531	10.46
NDUFC1	ENSG00000109390	10.46
PRB4	ENSG00000230657	10.46
SNIP1	ENSG00000163877	10.46
TMSB15A	ENSG00000158164	10.46
ZNF320	ENSG00000182986	10.46
ARHGEF5	ENSG00000050327	10.15
ARMC5	ENSG00000140691	10.15
CCDC107	ENSG00000159884	10.15
CHKA	ENSG00000110721	10.15
COX5B	ENSG00000135940	10.15
DEFB128	ENSG00000185982	10.15
GML	ENSG00000104499	10.15
HIST3H2BB	ENSG00000196890	10.15
IL18	ENSG00000150782	10.15
KRBOX4	ENSG00000147121	10.15
MDM4	ENSG00000198625	10.15
MPPE1	ENSG00000154889	10.15
MRPS30	ENSG00000112996	10.15
MTRF1	ENSG00000120662	10.15
NDUFAF2	ENSG00000164182	10.15
PDCL3	ENSG00000115539	10.15
PIFO	ENSG00000173947	10.15
PIK3CB	ENSG00000051382	10.15
POU2F1	ENSG00000143190	10.15
PQBP1	ENSG00000102103	10.15
RIMBP3B	ENSG00000274600	10.15
RPL22L1	ENSG00000163584	10.15
SLC25A33	ENSG00000171612	10.15
SYNCRIP	ENSG00000135316	10.15
TADA3	ENSG00000171148	10.15
TCEAL3	ENSG00000196507	10.15
TDG	ENSG00000139372	10.15
TRAM1L1	ENSG00000174599	10.15
VCL	ENSG00000035403	10.15
VPS26A	ENSG00000122958	10.15
WBP5		10.15
C6orf89	ENSG00000198663	9.85
CEPT1	ENSG00000134255	9.85
CNOT2	ENSG00000111596	9.85
COG6	ENSG00000133103	9.85
COX10	ENSG00000006695	9.85
EMC1	ENSG00000127463	9.85
HEXIM1	ENSG00000186834	9.85
HIST1H2AB	ENSG00000278463	9.85
HSPE1-MOB4		9.85
HYDIN	ENSG00000157423	9.85
ITM2B	ENSG00000136156	9.85
LARS2	ENSG00000011376	9.85
MRPL49	ENSG00000149792	9.85
MT1A	ENSG00000205362	9.85
OCIAD1	ENSG00000109180	9.85
POTEE	ENSG00000188219	9.85
PRAMEF7	ENSG00000204510	9.85
RTN4IP1	ENSG00000130347	9.85
STK3	ENSG00000104375	9.85
UBAP2L	ENSG00000143569	9.85
UVRAG	ENSG00000198382	9.85
VNN2	ENSG00000112303	9.85
YTHDF2	ENSG00000198492	9.85
ACAP2	ENSG00000114331	9.54
ACSL4	ENSG00000068366	9.54
ANXA8L2		9.54
ATP5G2	ENSG00000135390	9.54
CHD1	ENSG00000153922	9.54
CYP3A43	ENSG00000021461	9.54
DHODH	ENSG00000102967	9.54
EXOSC10	ENSG00000171824	9.54
FAM175A	ENSG00000163322	9.54
FANCM	ENSG00000187790	9.54
GOLGA8M	ENSG00000188626	9.54
HMGB1	ENSG00000189403	9.54
LYRM2	ENSG00000083099	9.54
MAPK1	ENSG00000100030	9.54
MPRIP	ENSG00000133030	9.54
MRPL19	ENSG00000115364	9.54
NRAS	ENSG00000213281	9.54
PCNP	ENSG00000081154	9.54
PTCD3	ENSG00000132300	9.54
S100G	ENSG00000169906	9.54
SAFB	ENSG00000160633	9.54
SEPHS2	ENSG00000179918	9.54
SLC38A2	ENSG00000134294	9.54
UGP2	ENSG00000169764	9.54
ZFX	ENSG00000005889	9.54
ACSL3	ENSG00000123983	9.23
AP1G1	ENSG00000166747	9.23
CSDE1	ENSG00000009307	9.23
DEFB125	ENSG00000178591	9.23
EMC2	ENSG00000104412	9.23
EXOC7	ENSG00000182473	9.23
FAM200B	ENSG00000237765	9.23
FAM98B	ENSG00000171262	9.23
FBXO11	ENSG00000138081	9.23
GEN1	ENSG00000178295	9.23
